generated_code,is_quality_issue,quality_info,MultipleVariableDeclarations,AvoidReassigningParameters,ForLoopCanBeForeach
"class Solution {     public int lengthOfLastWord(String s) {         String[] split = s.split("" ""); // split the string by space         if (split.length == 0) { // edge case for empty string             return 0;         }         String lastWord = split[split.length - 1]; // get the last word         return lastWord.length();     } }",0,,0,0,0
"class Solution {     public int[] plusOne(int[] digits) {         int n = digits.length;                  // Incrementing the least significant digit by 1         digits[n - 1]++;          // Checking if the digit is less than or equal to 9, if it is return digits as it is         if (digits[n - 1] <= 9) {             return digits;         }                  // Reversing the digits array and updating each digit, adding carry as needed.         int carry = 1;         for (int i = 0; i < n; i++) {             int sum = carry + digits[n - 1 - i];             digits[n - 1 - i] = sum % 10;             carry = sum / 10;         }                  // If there is a carry, we need to create a new array         if (carry == 1) {             int[] result = new int[n + 1];             result[0] = carry;             for (int i = 1; i <= n; i++) {                 result[i] = digits[i - 1];             }             digits = result;         }                  return digits;     } }",1,"066-plus-one/Solution.java:25:	AvoidArrayLoops:	Arrays.copyOf or System.arraycopy are more efficient
066-plus-one/Solution.java:28:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'digits'
",0,1,0
"class Solution {     public String addBinary(String a, String b) {         StringBuilder sb = new StringBuilder();         int i = a.length() - 1, j = b.length() - 1, carry = 0;         while (i >= 0 || j >= 0) {             int sum = carry;             if (i >= 0) sum += a.charAt(i--) - '0';             if (j >= 0) sum += b.charAt(j--) - '0';             sb.append(sum % 2);             carry = sum / 2;         }         if (carry != 0) sb.append(carry);         return sb.reverse().toString();     } }",1,"067-add-binary/Solution.java:4:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
",1,0,0
"class Solution {     public int mySqrt(int x) {         if (x == 0 || x == 1)             return x;                  int low = 0, high = x, ans = 0;                  while (low <= high) {             int mid = low + (high - low) / 2;                          if (mid == x / mid)                 return mid;             else if (mid < x / mid) {                 low = mid + 1;                 ans = mid;             } else {                 high = mid - 1;             }         }         return ans;     } }",1,"069-sqrtx/Solution.java:6:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
",1,0,0
class Solution {     public int climbStairs(int n) {         if (n == 1) return 1;                  int[] dp = new int[n+1];         dp[1] = 1;         dp[2] = 2;                  for (int i=3; i<=n; i++) {             dp[i] = dp[i-1] + dp[i-2];         }                  return dp[n];     } },0,,0,0,0
"/**  * Definition for singly-linked list.  * public class ListNode {  *     int val;  *     ListNode next;  *     ListNode() {}  *     ListNode(int val) { this.val = val; }  *     ListNode(int val, ListNode next) { this.val = val; this.next = next; }  * }  */ class Solution {     public ListNode deleteDuplicates(ListNode head) {         if (head == null) {             return null;         }         ListNode current = head;         while (current.next != null) {             if (current.val == current.next.val) {                 current.next = current.next.next;             } else {                 current = current.next;             }         }         return head;     } }",0,,0,0,0
"class Solution {     public void merge(int[] nums1, int m, int[] nums2, int n) {         int i = m - 1; // assign the last index of the first array, i.e. nums1         int j = n - 1; // assign the last index of second array, i.e. nums2         int k = m + n - 1; // assign the last index of the merged array                  while(j >= 0) {             if(i >= 0 && nums1[i] > nums2[j]) {                 nums1[k--] = nums1[i--];             } else {                 nums1[k--] = nums2[j--];             }         }     } }",0,,0,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {     public List<Integer> inorderTraversal(TreeNode root) {         List<Integer> result = new ArrayList<>();         if (root == null) return result;                  Stack<TreeNode> stack = new Stack<>();         TreeNode curr = root;                  while (curr != null || !stack.empty()) {             while (curr != null) {                 stack.push(curr);                 curr = curr.left;             }             curr = stack.pop();             result.add(curr.val);             curr = curr.right;         }                  return result;     } }",0,,0,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {     public boolean isSameTree(TreeNode p, TreeNode q) {         // If both trees are null, they are the same         if (p == null && q == null) {             return true;         }         // If only one of the trees is null, they are not the same         if (p == null || q == null) {             return false;         }         // If the values are not equal, they are not the same         if (p.val != q.val) {             return false;         }         // Recursively check the left and right subtrees         return isSameTree(p.left, q.left) && isSameTree(p.right, q.right);     } }",0,,0,0,0
"import java.util.*;  class Solution {     public List<String> commonChars(String[] words) {         List<String> result = new ArrayList<>();         if (words == null || words.length == 0) {             return result;         }         int[] minFreq = new int[26];         Arrays.fill(minFreq, Integer.MAX_VALUE);          for (String word : words) {             int[] curFreq = new int[26];             int wordLength = word.length();              for (int i = 0; i < wordLength; i++) {                 char ch = word.charAt(i);                 curFreq[ch - 'a']++;             }              for (int i =0; i < 26; i++) {                 minFreq[i] = Math.min(minFreq[i], curFreq[i]);             }         }          for (int i =0; i < 26; i++) {             for (int j = 0; j < minFreq[i]; j++) {                 char ch = (char) (i + 'a');                 result.add(String.valueOf(ch));             }         }          return result;     } }",0,,0,0,0
"class Solution {     public int largestSumAfterKNegations(int[] nums, int k) {         Arrays.sort(nums); // sort the array         int i = 0;         while (k > 0 && i < nums.length && nums[i] < 0) { // check if the number is negative             nums[i] = -nums[i]; // negate the number             i++; // move to the next number             k--; // decrement the value of k         }         Arrays.sort(nums); // sort the array again to get the largest sum         if (k % 2 == 1) {             nums[0] = -nums[0]; // if k is odd, negate the smallest number         }         int sum = 0;         for (int num : nums) { // calculate the sum of array             sum += num;         }         return sum;     } }",1,"1005-maximize-sum-of-array-after-k-negations/Solution.java:8:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'k'
",0,1,0
"class Solution {     public int bitwiseComplement(int n) {         if(n==0) return 1; //edge case         int num = n, bit = 1;         while(num!=0){             n ^= bit; //xor operation between the number and the bit             bit <<= 1; //left shift the bit by one place             num >>= 1; //right shift the number by one place         }         return n;     } }",1,"1009-complement-of-base-10-integer/Solution.java:4:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
1009-complement-of-base-10-integer/Solution.java:6:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'n'
",1,1,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {     public boolean isSymmetric(TreeNode root) {         if(root == null) return true;         return checkSymmetric(root.left, root.right);     }          public boolean checkSymmetric(TreeNode left, TreeNode right) {         if(left == null && right == null) return true;         if(left == null || right == null) return false;         if(left.val != right.val) return false;         return checkSymmetric(left.left, right.right) && checkSymmetric(left.right, right.left);     } }",1,"101-symmetric-tree/TreeNode.java:18:	SimplifyBooleanReturns:	This if statement can be replaced by `return {condition} || {elseBranch};`
",0,0,0
class Solution {     public boolean canThreePartsEqualSum(int[] arr) {                  int sum = 0;         for(int i=0; i< arr.length; i++){             sum += arr[i];         }                  if(sum % 3 != 0){             return false;         }                  int i = 0;         int j = arr.length-1;         int leftSum = 0;         int rightSum = 0;         int target = sum/3;                  while(i<j){             if(leftSum!=target){                 leftSum += arr[i++];             }             if(rightSum!=target){                 rightSum += arr[j--];             }             if(leftSum == target && rightSum == target){                 return true;             }         }                  return false;     } },1,"1013-partition-array-into-three-parts-with-equal-sum/Solution.java:5:	ForLoopCanBeForeach:	This for loop can be replaced by a foreach loop
",0,0,1
"class Solution {     public List<Boolean> prefixesDivBy5(int[] nums) {         List<Boolean> answer = new ArrayList<Boolean>();         int remainder = 0;         for (int i = 0; i < nums.length; i++) {             remainder = ((remainder << 1) + nums[i]) % 5;             answer.add(remainder == 0);         }         return answer;     } }   // Driver Code public class Main {     public static void main(String[] args) {         Solution sol = new Solution();         int[] nums = {1, 0, 1, 0, 1};         List<Boolean> answer = sol.prefixesDivBy5(nums);         System.out.println(answer);     } }   /*      Expected output:      [false, false, false, true, false] */",1,"1018-binary-prefix-divisible-by-5/Main.java:14:1: Utility classes should not have a public or default constructor. [HideUtilityClassConstructor]
1018-binary-prefix-divisible-by-5/Main.java:5:	ForLoopCanBeForeach:	This for loop can be replaced by a foreach loop
1018-binary-prefix-divisible-by-5/Main.java:14:	UseUtilityClass:	This utility class has a non-private constructor
",0,0,1
class Solution {     public String removeOuterParentheses(String s) {         StringBuilder sb = new StringBuilder();         int count = 0;         for (char c : s.toCharArray()) {             if (c == '(' && count++ > 0) sb.append(c);             if (c == ')' && --count > 0) sb.append(c);         }         return sb.toString();     } },1,"1021-remove-outermost-parentheses/Solution.java:6:	AssignmentInOperand:	Avoid assignments in operands
1021-remove-outermost-parentheses/Solution.java:7:	AssignmentInOperand:	Avoid assignments in operands
",0,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {     public int sumRootToLeaf(TreeNode root) {         return dfs(root, 0);     }          private int dfs(TreeNode node, int sum) {         if (node == null) {             return 0;         }         sum = 2 * sum + node.val;         if (node.left == null && node.right == null) {             return sum;         }         return dfs(node.left, sum) + dfs(node.right, sum);     } }",1,"1022-sum-of-root-to-leaf-binary-numbers/TreeNode.java:25:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'sum'
",0,1,0
"class Solution {     public boolean divisorGame(int n) {         // Alice starts first         // return true if n is even, since Alice can always choose x=1 and get an odd number         // then Bob will always get an odd number and the next even number         // Since Alice starts first, she will always end up with the number 2 and win the game         // return false if n is odd, since Alice will get an odd number after the first move          return n % 2 == 0;     } }",0,,0,0,0
"class Solution {          public int[][] allCellsDistOrder(int rows, int cols, int rCenter, int cCenter) {                  // Create an array to hold the result         int[][] result = new int[rows * cols][2];                  // Initialize the array index         int index = 0;                  // Loop through all the cells in the matrix         for (int i = 0; i < rows; i++) {             for (int j = 0; j < cols; j++) {                                  // Calculate the manhattan distance from the target cell                 int distance = Math.abs(i - rCenter) + Math.abs(j - cCenter);                                  // Store the row and column indices along with their distance                 result[index][0] = i;                 result[index][1] = j;                 result[index][2] = distance;                                  // Increment the index                 index++;             }         }                  // Sort the result based on their distance from the target cell         Arrays.sort(result, (a, b) -> a[2] - b[2]);                  // Copy the result to a new array to exclude the distance         int[][] output = new int[rows * cols][2];         for (int i = 0; i < rows * cols; i++) {             output[i][0] = result[i][0];             output[i][1] = result[i][1];         }                  // Return the output array         return output;     } }",0,,0,0,0
"class Solution {     public boolean isBoomerang(int[][] points) {         int x1 = points[0][0], y1 = points[0][1];         int x2 = points[1][0], y2 = points[1][1];         int x3 = points[2][0], y3 = points[2][1];         return (y2-y1)*(x3-x2) != (y3-y2)*(x2-x1);  // if slope is not equal, not in straight line     } }",1,"1037-valid-boomerang/Solution.java:3:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
1037-valid-boomerang/Solution.java:4:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
1037-valid-boomerang/Solution.java:5:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
",1,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {     public int maxDepth(TreeNode root) {         if(root == null) return 0;         int leftDepth = maxDepth(root.left);         int rightDepth = maxDepth(root.right);         return Math.max(leftDepth, rightDepth) + 1;     } }",0,,0,0,0
"class Solution {     public int lastStoneWeight(int[] stones) {         // We can use a priority queue to keep track of the heaviest stones         PriorityQueue<Integer> maxHeap = new PriorityQueue<>(Collections.reverseOrder());         for (int stone : stones) {             maxHeap.offer(stone);         }                  // Smash stones until there is at most one left         while (maxHeap.size() > 1) {             int y = maxHeap.poll();             int x = maxHeap.poll();             if (x != y) {                 maxHeap.offer(y - x);             }         }                  // Return the weight of the last remaining stone, or 0 if there are no stones left         return maxHeap.isEmpty() ? 0 : maxHeap.peek();     } }",0,,0,0,0
"class Solution {     public String removeDuplicates(String s) {         StringBuilder sb = new StringBuilder();         int n = s.length();         int j = 0;         char[] chars = s.toCharArray();         for(int i = 0; i < n; i++, j++) {             chars[j] = chars[i];             if(j > 0 && chars[j - 1] == chars[j])                 j = j - 2;         }         return new String(chars, 0, j);     } }",1,"1047-remove-all-adjacent-duplicates-in-string/Solution.java:3:	UnusedLocalVariable:	Avoid unused local variables such as 'sb'.
",0,0,0
"class Solution {     public int heightChecker(int[] heights) {         int[] expected = Arrays.copyOf(heights, heights.length);         Arrays.sort(expected);         int mismatchCount = 0;         for (int i = 0; i < heights.length; i++) {             if (heights[i] != expected[i]) {                 mismatchCount++;             }         }         return mismatchCount;     } }",0,,0,0,0
"class Solution {     public String gcdOfStrings(String str1, String str2) {                  // If strings are equal, return the string itself         if(str1.equals(str2)){             return str1;         }                  // If the length of first string is less than second, swap         if(str1.length() < str2.length()){             String temp = str1;             str1 = str2;             str2 = temp;         }                  // Check if second string divides the first string completely         if(str1.startsWith(str2) && gcdOfStrings(str1.substring(str2.length()), str2).equals(str2)){             return str2;  //If yes, return the second string         }                  return """"; //Otherwise, return an empty string     } }",1,"1071-greatest-common-divisor-of-strings/Solution.java:12:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'str1'
1071-greatest-common-divisor-of-strings/Solution.java:13:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'str2'
",0,1,0
"class Solution {     public String[] findOcurrences(String text, String first, String second) {         //Split text to get each word         String[] words = text.split("" "");         //Resulting list to store occurrences         List<String> resultList = new ArrayList<>();                  //Iterate through words comparing each set of 3 words         for(int i=0; i<words.length-2; i++){             if(words[i].equals(first) && words[i+1].equals(second)){                 resultList.add(words[i+2]);             }         }                  //Convert list to array and return         return resultList.toArray(new String[0]);     } }",0,,0,0,0
"class Solution {     public String[] findOcurrences(String text, String first, String second) {         //Split text to get each word         String[] words = text.split("" "");         //Resulting list to store occurrences         List<String> resultList = new ArrayList<>();                  //Iterate through words comparing each set of 3 words         for(int i=0; i<words.length-2; i++){             if(words[i].equals(first) && words[i+1].equals(second)){                 resultList.add(words[i+2]);             }         }                  //Convert list to array and return         return resultList.toArray(new String[0]);     } }",0,,0,0,0
class Solution {     public void duplicateZeros(int[] arr) {         int n = arr.length;         for (int i = 0; i < n; i++) {             //check if value at arr[i] is zero             if (arr[i] == 0) {                 //shift elements of array to right                 for (int j = n - 1; j > i; j--) {                     arr[j] = arr[j - 1];                 }                 //insert a zero at i+1 index                 i++;                 if (i < n) {                     arr[i] = 0;                 }             }         }     } },1,"1089-duplicate-zeros/Solution.java:4:	AvoidArrayLoops:	Arrays.copyOf or System.arraycopy are more efficient
1089-duplicate-zeros/Solution.java:8:	AvoidArrayLoops:	Arrays.copyOf or System.arraycopy are more efficient
",0,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {          // helper function to check if tree is height-balanced or not     private boolean isBalancedHelper(TreeNode root, int[] height) {                  // check if root node is null         if(root == null) {             height[0] = 0;             return true;         }                  // check if left subtree is height-balanced or not         int[] leftHeight = new int[1];         boolean isLeftBalanced = isBalancedHelper(root.left, leftHeight);                  // check if right subtree is height-balanced or not         int[] rightHeight = new int[1];         boolean isRightBalanced = isBalancedHelper(root.right, rightHeight);                  // Height of current node is max height of left and right subtree + 1         height[0] = Math.max(leftHeight[0], rightHeight[0]) + 1;                  // If both left and right subtrees are height balanced and the difference between their height is less than or equal to 1, then return true. Otherwise return false.         if(isLeftBalanced && isRightBalanced && Math.abs(leftHeight[0] - rightHeight[0]) <= 1) {             return true;         }                  return false;     }          public boolean isBalanced(TreeNode root) {                  int[] height = new int[1];         return isBalancedHelper(root, height);     } }",1,"110-balanced-binary-tree/TreeNode.java:39:	SimplifyBooleanReturns:	This if statement can be replaced by `return {condition};`
",0,0,0
"class Solution {     public int[] distributeCandies(int candies, int num_people) {         int[] result = new int[num_people];         int i = 0, currCandies = 1;         while (candies > 0) {             if (i == num_people) {                 i = 0;             }             if (currCandies <= candies) {                 result[i] += currCandies;                 candies -= currCandies;             } else {                 result[i] += candies;                 candies = 0;             }             currCandies++;             i++;         }         return result;     } }",1,"1103-distribute-candies-to-people/Solution.java:4:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
1103-distribute-candies-to-people/Solution.java:11:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'candies'
",1,1,0
"class Solution {     public String defangIPaddr(String address) {         return address.replace(""."", ""[.]"");     } }",0,,0,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {     public int minDepth(TreeNode root) {         if(root == null){             return 0;         }                  // Initialize the minimum depth to be 1         int minDepth = 1;         Queue<TreeNode> queue = new LinkedList<>();         queue.offer(root);                  while(!queue.isEmpty()){             int levelSize = queue.size();             for(int i = 0; i < levelSize; i++){                 TreeNode current = queue.poll();                 if(current.left == null && current.right == null){                     // If we reach a leaf node, return the minimum depth                     return minDepth;                 }                 if(current.left != null){                     queue.offer(current.left);                 }                 if(current.right != null){                     queue.offer(current.right);                 }             }             // Increment the minimum depth at each level             minDepth++;         }                  return minDepth;     } }",0,,0,0,0
class Foo {      private volatile boolean firstDone;     private volatile boolean secondDone;     private Object lock;      public Foo() {         lock = new Object();         firstDone = false;         secondDone = false;     }      public void first(Runnable printFirst) throws InterruptedException {         printFirst.run();         synchronized(lock) {             firstDone = true;             lock.notifyAll();         }     }      public void second(Runnable printSecond) throws InterruptedException {         synchronized(lock) {             while(!firstDone) {                 lock.wait();             }             printSecond.run();             secondDone = true;             lock.notifyAll();         }     }      public void third(Runnable printThird) throws InterruptedException {         synchronized(lock) {             while(!secondDone) {                 lock.wait();             }             printThird.run();         }     } },1,"1114-print-in-order/Foo.java:7:5: Redundant 'public' modifier. [RedundantModifier]
1114-print-in-order/Foo.java:3:	AvoidUsingVolatile:	Use of modifier volatile is not recommended.
1114-print-in-order/Foo.java:4:	AvoidUsingVolatile:	Use of modifier volatile is not recommended.
",0,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {     public boolean hasPathSum(TreeNode root, int targetSum) {         if (root == null) {             return false;         }         if (root.left == null && root.right == null) {             return root.val == targetSum;         }         int newTargetSum = targetSum - root.val;         return hasPathSum(root.left, newTargetSum) || hasPathSum(root.right, newTargetSum);     } }",0,,0,0,0
"class Solution {     public int[] relativeSortArray(int[] arr1, int[] arr2) {         Map<Integer, Integer> frequencyCount = new HashMap<>();         for(int num : arr1) {             frequencyCount.put(num, frequencyCount.getOrDefault(num, 0) + 1);         }                  int[] result = new int[arr1.length];         int index = 0;         for(int num : arr2) {             int count = frequencyCount.get(num);             while(count > 0) {                 result[index++] = num;                 count--;             }             frequencyCount.remove(num);         }                  List<Integer> remainingNumbers = new ArrayList<>(frequencyCount.keySet());         Collections.sort(remainingNumbers);                  for(int num : remainingNumbers) {             int count = frequencyCount.get(num);             while(count > 0) {                 result[index++] = num;                 count--;             }         }                  return result;     } }",0,,0,0,0
"class Solution {     public int numEquivDominoPairs(int[][] dominoes) {         int count = 0;         Map<String, Integer> map = new HashMap<String, Integer>();                  for(int i=0; i<dominoes.length; i++){             Arrays.sort(dominoes[i]); //sorting dominoes[i] array to keep same elements in same order             String str = dominoes[i][0] + "" "" + dominoes[i][1];              map.put(str, map.getOrDefault(str, 0) + 1); //putting the counts of element pairs in map         }                  for(int val : map.values()){             count += (val*(val-1))/2; //calculating total number of pairs         }                  return count; //returning the total count     } }",1,"1128-number-of-equivalent-domino-pairs/Solution.java:6:	ForLoopCanBeForeach:	This for loop can be replaced by a foreach loop
1128-number-of-equivalent-domino-pairs/Solution.java:13:	UselessParentheses:	Useless parentheses.
",0,0,1
class Solution {     public int tribonacci(int n) {         if (n == 0) return 0;         if (n == 1 || n == 2) return 1;                  int[] dp = new int[n+1];         dp[0] = 0;         dp[1] = 1;         dp[2] = 1;                  for (int i = 3; i <= n; i++) {             dp[i] = dp[i-1] + dp[i-2] + dp[i-3];         }                  return dp[n];     } }   // Time Complexity: O(n) // Space Complexity: O(n),0,,0,0,0
"class Solution {     public int dayOfYear(String date) {         int[] daysInMonth = new int[] {31,28,31,30,31,30,31,31,30,31,30,31};                  String[] dateArr = date.split(""-"");         int year = Integer.parseInt(dateArr[0]);         int month = Integer.parseInt(dateArr[1]);         int day = Integer.parseInt(dateArr[2]);                  int days = day;                  for(int i=0; i<month-1; i++) {             days += daysInMonth[i];         }                  if(month>2 && isLeapYear(year)) {             days++;         }                  return days;     }          private boolean isLeapYear(int year) {         if(year%100==0) {             return year%400==0;         }                  return year%4==0;     } }",0,,0,0,0
"class Solution {     public int countCharacters(String[] words, String chars) {         int[] charCount = new int[26];         for (char c : chars.toCharArray()) {             charCount[c - 'a']++;         }         int totalLength = 0;         for (String word : words) {             int[] tempCharCount = charCount.clone(); // Make a copy of the character count array for each word             boolean isGood = true;             for (char c : word.toCharArray()) {                 if (tempCharCount[c - 'a'] == 0) {                     isGood = false;                     break;                 }                 tempCharCount[c - 'a']--;             }             if (isGood) {                 totalLength += word.length();             }         }         return totalLength;     } }",0,,0,0,0
"class Solution {     public int numPrimeArrangements(int n) {         final int MOD = 1000000007;         int primeCount = countPrimes(n);         int nonPrimeCount = n - primeCount;         long ans = 1;         for (int i = 2; i <= primeCount; i++) {             ans = (ans * i) % MOD;         }         for (int i = 2; i <= nonPrimeCount; i++) {             ans = (ans * i) % MOD;         }         return (int) ans;     }          private int countPrimes(int n) {         if (n <= 1) {             return 0;         }         boolean[] isPrime = new boolean[n + 1];         Arrays.fill(isPrime, true);         for (int i = 2; i * i <= n; i++) {             if (isPrime[i]) {                 for (int j = i * i; j <= n; j += i) {                     isPrime[j] = false;                 }             }         }         int count = 0;         for (int i = 2; i <= n; i++) {             if (isPrime[i]) {                 count++;             }         }         return count;     } }",1,"1175-prime-arrangements/Solution.java:8:	UselessParentheses:	Useless parentheses.
1175-prime-arrangements/Solution.java:11:	UselessParentheses:	Useless parentheses.
1175-prime-arrangements/Solution.java:20:	LinguisticNaming:	Linguistics Antipattern - The variable 'isPrime' indicates linguistically it is a boolean, but it is 'boolean[]'
",0,0,0
